Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,1.637905440768417,1.3554605424404145,0.3981,0.5123
2,1.2520266978108152,1.2560590595006942,0.5469,0.5646
3,1.1084717369201231,1.1196357801556587,0.60566,0.6022
4,1.0086865139250853,1.0909112766385078,0.64072,0.6242
5,0.9273807461164436,1.0531981155276298,0.67114,0.6383
6,0.8529658749395487,1.0481545761227609,0.69548,0.6428
7,0.7853543956060799,1.0586679339408875,0.71864,0.6483
8,0.7212634637039534,1.0821426153182983,0.7418,0.6494
9,0.6551283672451973,1.075384084880352,0.76604,0.6543
10,0.5958348144682086,1.0683442234992981,0.78826,0.6605
11,0.53673148474523,1.1581456497311593,0.81012,0.6568
12,0.4899336808190054,1.120416909456253,0.82704,0.6677
13,0.4334282862896822,1.1967498913407326,0.84512,0.6657
14,0.39504141314905517,1.2266864269971847,0.85894,0.6611
15,0.3482479962463282,1.2597491711378097,0.87574,0.6653
16,0.3191119055358731,1.3168334484100341,0.88484,0.6613
17,0.28046080401661444,1.3314487248659135,0.90068,0.6675
18,0.25369658222307967,1.3658300518989563,0.90878,0.6683
19,0.21930651906497625,1.4351234316825867,0.92334,0.6605
20,0.20131764579944464,1.4862068176269532,0.92878,0.6658
21,0.1854807688113378,1.4939102977514267,0.93412,0.6688
22,0.16675537330459575,1.5097183972597121,0.94064,0.6649
23,0.1473572807272478,1.5590197026729584,0.94686,0.6716
24,0.13201783091894218,1.5944622188806534,0.95362,0.6728
25,0.12492790116871498,1.5607451736927032,0.95704,0.6771
26,0.1089087839675497,1.6519180148839951,0.96262,0.6699
27,0.10244541725485909,1.6398745089769364,0.96386,0.6759
28,0.09515102815871336,1.6816470086574555,0.9666,0.675
29,0.08781570908898602,1.736072114109993,0.96952,0.6766
30,0.0794286707948361,1.7056921005249024,0.97232,0.6763
31,0.0733264468097109,1.737825983762741,0.97476,0.6794
32,0.06803371599514266,1.7654287189245224,0.97676,0.6793
33,0.0616675430186549,1.7721699804067612,0.97872,0.684
34,0.06142271088664325,1.7718889564275742,0.97912,0.6835
35,0.05612867871033294,1.8068408012390136,0.98094,0.6838
36,0.05012245142205181,1.8323767244815827,0.98322,0.6807
37,0.045760184326874356,1.8281644225120544,0.98454,0.685
38,0.04511791072804861,1.8231207877397537,0.98486,0.6848
39,0.04403451006213317,1.834319031238556,0.98546,0.6829
40,0.03865003029397708,1.8628710448741912,0.98748,0.6874
41,0.03692373234721623,1.8620097160339355,0.98764,0.6861
42,0.03449568420420496,1.8656201303005218,0.98902,0.685
43,0.03186517908732046,1.8765556305646895,0.98904,0.6877
44,0.03255175925050007,1.8655718237161636,0.9892,0.6879
45,0.03190694058228436,1.8740972489118577,0.9895,0.6869
46,0.02928720487576282,1.8806101143360139,0.99068,0.6878
47,0.029190026123874953,1.873458606004715,0.99044,0.6888
48,0.02909179157292356,1.878126248717308,0.99014,0.689
49,0.027174534561226562,1.882931411266327,0.99102,0.6889
50,0.03019264231350425,1.882143846154213,0.9898,0.6886
