Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time (s)
1,1.5024003336191787,1.2267317149289854,0.44934,0.5602,85.14394307136536
2,1.155544880177359,1.0860275751466204,0.58594,0.6187,82.60333490371704
3,1.0034644548850291,1.0441848954577355,0.64222,0.6362,45.9313440322876
4,0.8931746572027426,0.9439562255409872,0.68002,0.6668,42.71849226951599
5,0.7936376411362988,0.9108602389408524,0.71608,0.6862,45.32181787490845
6,0.7039444176742183,0.9239015879145094,0.74988,0.6776,46.60975933074951
7,0.6229669282122341,0.9529648005582725,0.77684,0.6824,46.6774525642395
8,0.5500236491832282,0.9297657608985901,0.80496,0.6965,44.90510153770447
9,0.48202669288953554,0.9754374498014997,0.82968,0.6925,42.98919677734375
10,0.42809349986369655,0.9782656837420859,0.84704,0.7031,44.064138412475586
11,0.3699463080624333,1.0551147745673064,0.86802,0.6957,44.3322319984436
12,0.32768530071810686,1.0756973157263106,0.88354,0.7022,44.924708127975464
13,0.3001400173625068,1.0867102727009232,0.89336,0.6996,45.897231340408325
14,0.264930236922658,1.1378366024630844,0.90592,0.7055,43.27059006690979
15,0.23656931742454124,1.1709336338529162,0.91574,0.7035,42.7406439781189
16,0.21582215565645024,1.2200651077707863,0.92312,0.6948,46.01151919364929
17,0.21040259924767268,1.2247785102030275,0.92498,0.7017,47.255799770355225
18,0.18701325566091043,1.2787776691898418,0.93386,0.7026,46.56415796279907
19,0.17979447605550442,1.2479248753019199,0.93554,0.7056,46.09998679161072
20,0.16318856632036854,1.2724533548021013,0.94174,0.7102,45.34829926490784

Total Training Time (s),979.4097492694855
