Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time (s)

Total Training Time (s),412.7523555755615
1,1.5131676152843954,1.2582118275818552,0.45076,0.5493,24.60426616668701
2,1.1847664883831883,1.1238237877560269,0.57436,0.5955,24.340614080429077
3,1.0510541025330038,1.0539338786131258,0.6225,0.6171,24.61879873275757
4,0.9489488791474296,1.0328932799351442,0.6631,0.627,26.013933658599854
5,0.8581119737280604,1.0146946808335129,0.69546,0.6494,26.20388889312744
6,0.7882075294128159,1.0070659700472644,0.71716,0.6519,44.89744162559509
7,0.7128430403330747,1.0463386014768272,0.74714,0.6491,44.91063380241394
8,0.6503508915681668,1.0877805747044313,0.7676,0.657,51.45059370994568
9,0.5966637819014546,1.102516337185149,0.78724,0.6537,28.387555360794067
10,0.5382701163859014,1.090774158763278,0.80676,0.6641,27.48012065887451
11,0.4890858116357223,1.1114521220231512,0.82428,0.6715,30.2955162525177
12,0.44711726985852734,1.163746756353196,0.83992,0.6612,29.833734035491943
13,0.40293292287746657,1.1380830167964766,0.85528,0.672,29.715258598327637
