Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time (s)

Total Training Time (s),784.7193417549133
1,1.5300541506398975,1.2567223576223774,0.4438,0.5438,41.3775360584259
2,1.1928209421579794,1.1046739930559875,0.5731,0.6021,42.286264181137085
3,1.0532491239135529,1.0769746743949355,0.62136,0.6139,46.83694672584534
4,0.9561894598519406,1.0226504111745556,0.65754,0.6387,44.384819984436035
5,0.8781022161169125,0.9781283330006204,0.68544,0.6557,34.33005475997925
6,0.8101530796502863,0.9798394918062125,0.7123,0.6598,34.49955177307129
7,0.7472893945548845,0.9417402884762758,0.73268,0.6712,35.02015447616577
8,0.6912082886451956,0.9437606683961904,0.75294,0.6811,36.11435389518738
9,0.6379563417047491,0.9702890355875537,0.77038,0.6797,36.33617162704468
10,0.5955663114557486,0.9744080050735716,0.78584,0.6832,35.06895041465759
11,0.5502002917592178,0.9696369228089691,0.80362,0.6814,34.247159242630005
12,0.5086264412688173,0.9976310240235299,0.81838,0.685,41.68975114822388
13,0.4671345721463413,1.0302900277125608,0.83332,0.681,50.282700538635254
14,0.43276748062132875,1.028325157370537,0.84444,0.6952,41.81209921836853
15,0.40063728767511486,1.1271350341997328,0.85618,0.6838,32.40648150444031
16,0.3750246350398606,1.0769080698110496,0.86588,0.6924,47.65215706825256
17,0.34450843472919807,1.1063572267058548,0.87638,0.6916,49.4032256603241
18,0.32746704090434264,1.0955790349632313,0.88312,0.6991,40.43755626678467
19,0.310370806623679,1.1165961243544416,0.88892,0.6909,30.84489893913269
20,0.27965006202726106,1.1739648857693763,0.89966,0.7021,29.68850827217102
